当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1955466.htm	,2020.12.31	,16:05	,澳洲甲	,中部海岸海员	,新城堡联队	,0.99	,0.92	,0.90	,92.49	,92.83	,	,1.00	,0.95	,0.93	,95.41	,95.02	,12-31 16:01	,0.99	,1.00	,0.92	,92.87	,95.87	,	,0.97	,0.88	,0.90	,90.37	,91.37	,	,2.70	,3.75	,3.60	,3.50	,2.50	,2.00	,3	,平手	,受让半球	,3	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1956223.htm	,2020.12.31	,19:30	,伊朗超	,柏斯波利斯	,佐伯阿汉	,0.87	,0.89	,1.21	,88.52	,90.34	,12-31 19:30	,0.87	,0.91	,1.15	,91.15	,91.08	,12-31 19:27	,0.87	,0.89	,1.03	,89.26	,89.30	,12-31 19:30	,0.90	,0.91	,0.97	,90.85	,91.35	,	,1.33	,1.45	,4.00	,3.30	,10.50	,9.50	,1	,半球/一球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1941809.htm	,2020.12.31	,20:10	,沙地联	,巴腾	,伊蒂哈德	,1.01	,0.89	,0.88	,89.19	,90.81	,12-31 20:10	,0.94	,0.83	,0.91	,89.66	,89.42	,	,0.87	,0.94	,0.89	,89.18	,89.70	,	,0.94	,0.90	,0.90	,90.90	,90.61	,	,2.88	,4.10	,3.30	,3.30	,2.15	,1.75	,0	,受让半球	,受让半球	,0	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1917003.htm	,2020.12.31	,21:00	,阿联酋超	,沙瑞加	,阿积曼	,0.91	,0.88	,1.20	,88.89	,91.75	,12-31 21:00	,0.90	,0.94	,1.06	,92.13	,91.37	,12-31 20:01	,0.90	,0.89	,0.81	,89.22	,89.01	,	,0.91	,0.91	,0.92	,92.66	,91.35	,	,1.17	,1.13	,6.50	,7.00	,13.00	,15.00	,3	,球半/两球	,两球	,3	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1961770.htm	,2020.12.31	,21:30	,阿尔甲	,贝鲁扎达	,斯基克达	,0.90	,0.88	,1.13	,92.14	,91.65	,12-31 21:30	,0.92	,0.83	,0.82	,89.31	,89.22	,	,0.92	,0.85	,0.82	,89.24	,89.23	,	,0.94	,0.85	,0.87	,91.62	,91.20	,	,1.22	,1.33	,5.00	,4.10	,10.00	,8.00	,3	,球半	,一球/球半	,3	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1961394.htm	,2020.12.31	,23:00	,巴林甲	,巴林SC	,阿伊迪哈德	,0.98	,0.87	,0.83	,89.42	,89.73	,	,1.01	,0.89	,0.81	,90.80	,91.22	,12-31 22:59	,0.93	,0.95	,0.80	,89.51	,89.36	,	,	,	,	,	,	,	,1.85	,2.38	,3.40	,3.20	,3.75	,2.75	,3	,半球	,平手/半球	,3	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1917007.htm	,2020.12.31	,23:59	,阿联酋超	,伊蒂哈德卡尔巴	,哈塔	,0.90	,0.88	,1.04	,91.76	,91.92	,12-31 23:59	,0.90	,0.93	,0.94	,91.54	,91.57	,	,0.90	,0.93	,0.85	,89.42	,89.40	,	,0.90	,0.91	,0.94	,92.05	,91.01	,	,1.60	,1.55	,4.00	,3.90	,4.60	,5.25	,1	,半球/一球	,一球	,1	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1941812.htm	,2021.01.01	,00:50	,沙地联	,希拉尔	,阿尔沙巴布	,0.90	,0.89	,1.00	,89.55	,90.99	,01-01 00:50	,0.92	,0.86	,0.85	,89.26	,89.74	,	,0.88	,0.95	,0.91	,89.24	,89.54	,	,0.92	,0.89	,0.92	,90.47	,91.03	,	,1.53	,1.44	,3.75	,4.20	,5.00	,5.50	,1	,一球/球半	,一球/球半	,0	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1833723.htm	,2021.01.01	,03:00	,玻利甲	,奥罗拉	,圣克鲁斯	,0.95	,0.85	,0.83	,91.40	,91.32	,	,0.88	,1.02	,1.14	,93.13	,93.62	,01-01 02:53	,0.94	,0.87	,0.76	,89.08	,89.49	,	,0.93	,0.87	,0.86	,90.86	,90.85	,	,1.45	,1.30	,4.60	,5.75	,6.00	,8.00	,1	,一球/球半	,球半	,3	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1833719.htm	,2021.01.01	,03:00	,玻利甲	,玻利瓦尔	,奥利恩特	,0.91	,0.76	,2.40	,91.97	,91.70	,01-01 03:00	,0.93	,0.93	,1.24	,93.28	,93.56	,01-01 02:57	,0.91	,0.88	,0.73	,89.07	,89.64	,	,0.93	,0.93	,0.86	,92.07	,92.98	,	,1.03	,1.06	,12.00	,11.00	,56.00	,29.00	,3	,三球半	,三球半	,3	
