当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200229.htm	,http://live.win007.com/detail/1734341cn.htm	,2020.02.29	,德甲	,霍芬海姆	,拜仁慕尼黑	,受让球半/两球	,受让球半/两球	,0.98/0.93	,3.5/4	,3.5/4	,0.85/1.05	,6/6.5	,1.05/0.83	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200228.htm	,http://live.win007.com/detail/1725539cn.htm	,2020.02.29	,荷乙	,格拉夫夏普	,阿尔克马尔青年队	,球半/两球	,两球	,1.02/0.86	,3.5	,3.5/4	,1.04/0.82	,6	,1.04/0.82	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200227.htm	,http://live.win007.com/detail/1823706cn.htm	,2020.02.28	,欧罗巴杯	,本菲卡	,顿涅茨克矿工	,半球	,平手/半球	,0.90/1.00	,2.5	,3	,1.07/0.81	,4.5	,1.08/0.79	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200226.htm	,http://live.win007.com/detail/1847302cn.htm	,2020.02.27	,巴西杯	,费罗维亚里亚	,阿圭亚尼格拉	,一球	,一球/球半	,0.95/0.87	,2.5/3	,2/2.5	,0.79/1.01	,6.5	,0.80/1.00	,5	,8	,1	,2	,2	
http://bf.win007.com/football/Over_20200223.htm	,http://live.win007.com/detail/1723842cn.htm	,2020.02.24	,法甲	,巴黎圣日尔曼	,波尔多	,球半/两球	,两球半	,0.90/0.99	,3	,4	,1.02/0.86	,6/6.5	,1.02/0.85	,4	,7	,2	,1	,1	
http://bf.win007.com/football/Over_20200222.htm	,http://live.win007.com/detail/1730896cn.htm	,2020.02.22	,苏冠	,摩顿	,艾洛亚	,半球	,半球	,0.84/1.00	,2.5/3	,2.5/3	,0.92/0.90	,没有中场或45或46	,没有中场或45或46	,6	,8	,0	,2	,2	
http://bf.win007.com/football/Over_20200221.htm	,http://live.win007.com/detail/1740764cn.htm	,2020.02.22	,西甲	,皇家贝蒂斯	,马洛卡	,一球	,一球	,0.80/1.12	,2.5/3	,2.5/3	,0.96/0.94	,5.5	,0.84/1.04	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200220.htm	,http://live.win007.com/detail/1847011cn.htm	,2020.02.21	,美冠杯	,森卡洛斯	,纽约城	,受让平手/半球	,受让平手/半球	,0.83/0.99	,2.5	,2.5	,0.80/1.00	,4.5/5	,0.88/0.92	,3	,8	,3	,2	,1	
http://bf.win007.com/football/Over_20200216.htm	,http://live.win007.com/detail/1844269cn.htm	,2020.02.16	,日联杯	,浦和红钻	,仙台维加泰	,平手/半球	,平手/半球	,0.87/1.01	,2.5	,2.5	,1.01/0.85	,6.5	,0.90/0.97	,5	,7	,1	,1	,0	
http://bf.win007.com/football/Over_20200216.htm	,http://live.win007.com/detail/1723483cn.htm	,2020.02.16	,荷甲	,维迪斯	,海伦芬	,半球	,半球	,0.97/0.93	,3	,2.5/3	,0.87/1.01	,5.5/6	,1.01/0.86	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200216.htm	,http://live.win007.com/detail/1723486cn.htm	,2020.02.16	,荷甲	,泽沃勒	,费耶诺德	,受让半球/一球	,受让半球	,0.88/1.02	,3/3.5	,3	,0.87/1.01	,4.5	,0.92/0.95	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20200212.htm	,http://live.win007.com/detail/1840877cn.htm	,2020.02.12	,亚冠杯	,神户胜利船	,柔佛	,一球/球半	,两球	,0.92/0.97	,3	,3.5	,0.96/0.91	,4.5	,0.83/1.03	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200211.htm	,http://live.win007.com/detail/1841974cn.htm	,2020.02.11	,喀麦隆甲	,费切	,永格体育学院	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200211.htm	,http://live.win007.com/detail/1844055cn.htm	,2020.02.12	,球会友谊	,格拉茨青年队	,艾特米拿青年队	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,4	,7	,2	,1	,1	
http://bf.win007.com/football/Over_20200211.htm	,http://live.win007.com/detail/1844100cn.htm	,2020.02.12	,球会友谊	,施塔德劳	,朗根鲁可	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200211.htm	,http://live.win007.com/detail/1844118cn.htm	,2020.02.12	,球会友谊	,VfR嘉兴	,VfR纽伯格	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20200210.htm	,http://live.win007.com/detail/1837553cn.htm	,2020.02.10	,女奥亚预	,泰国女足	,澳大利亚女足	,受让四球半/五球	,受让五球	,1.08/0.62	,5.5/6	,6	,0.65/1.05	,5/5.5	,0.84/0.96	,2	,6	,4	,0	,0	
