当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20210130.htm	,http://live.win007.com/detail/1906334cn.htm	,2021.01.30	,英冠	,布伦特福德	,韦康比流浪者	,一球/球半	,球半	,0.95/0.94	,2.5/3	,3	,1.03/0.84	,5.5	,0.85/1.01	,4	,9	,2	,3	,3	
http://bf.win007.com/football/Over_20210128.htm	,http://live.win007.com/detail/1967155cn.htm	,2021.01.29	,意杯	,那不勒斯	,斯佩齐亚	,球半	,球半/两球	,0.92/0.97	,3	,3/3.5	,0.81/1.07	,5.5/6	,0.93/0.95	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20210126.htm	,http://live.win007.com/detail/1905739cn.htm	,2021.01.27	,英甲	,罗奇代尔	,牛津联队	,受让半球	,受让半球	,1.00/0.88	,2.5/3	,2.5/3	,0.93/0.93	,4.5	,0.88/0.98	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20210125.htm	,http://live.win007.com/detail/1910760cn.htm	,2021.01.25	,土超	,阿兰亚斯堡	,安卡拉古库	,一球/球半	,一球/球半	,1.05/0.85	,3	,3	,1.02/0.84	,4.5/5	,1.00/0.86	,3	,7	,3	,1	,0	
http://bf.win007.com/football/Over_20210124.htm	,http://live.win007.com/detail/1896230cn.htm	,2021.01.24	,比乙	,韦斯特鲁	,瑟兰联	,平手/半球	,平手/半球	,0.99/0.83	,3	,2.5	,0.87/0.93	,4/4.5	,0.76/1.08	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20210124.htm	,http://live.win007.com/detail/1908179cn.htm	,2021.01.24	,奥甲	,LASK林茨	,华顿斯	,一球/球半	,球半	,1.00/0.90	,3	,3.5	,0.96/0.91	,7	,1.00/0.86	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20210123.htm	,http://live.win007.com/detail/1955555cn.htm	,2021.01.23	,澳洲甲	,西部联	,珀斯光荣	,平手	,平手/半球	,1.11/0.80	,2.5/3	,2.5	,1.00/0.88	,2.5	,1.02/0.85	,1	,9	,5	,3	,1	
http://bf.win007.com/football/Over_20210123.htm	,http://live.win007.com/detail/1895000cn.htm	,2021.01.23	,德乙	,布伦斯维克	,汉堡	,受让一球	,受让一球	,0.96/0.93	,2.5/3	,2.5	,0.89/0.99	,4.5	,1.06/0.81	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20210122.htm	,http://live.win007.com/detail/1884885cn.htm	,2021.01.23	,荷乙	,坎布尔	,埃因霍温青年队	,两球	,球半/两球	,0.93/0.95	,3.5	,3.5/4	,0.98/0.88	,6	,0.93/0.93	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20210120.htm	,http://live.win007.com/detail/1910752cn.htm	,2021.01.20	,土超	,加拉塔萨雷	,代尼兹利体育	,球半	,一球/球半	,0.88/1.02	,3	,3	,0.931/0.929	,4.5	,0.80/1.06	,3	,7	,3	,1	,1	
