当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20190225.htm	,http://op1.win007.com/oddslist/1583438.htm	,2019.02.26	,西甲	,赫罗纳	,皇家社会	,2.22	,2.95	,2.70	,2.42	,2.90	,2.49	,平手	,1.08	,0.80	,平手/半球	,1.02	,0.89	,1	,1	
http://bf.win007.com/football/Over_20190224.htm	,http://op1.win007.com/oddslist/1662085.htm	,2019.02.24	,日职乙	,冈山绿雉	,水户蜀葵	,2.20	,2.90	,2.78	,2.41	,2.90	,2.50	,平手	,0.85	,1.03	,平手	,0.95	,0.95	,0	,0	
http://bf.win007.com/football/Over_20190224.htm	,http://op1.win007.com/oddslist/1576281.htm	,2019.02.25	,葡超	,博阿维斯塔	,里奥阿维	,2.20	,2.95	,2.75	,2.40	,2.92	,2.50	,平手	,0.82	,1.06	,平手	,0.92	,0.98	,3	,3	
http://bf.win007.com/football/Over_20190223.htm	,http://op1.win007.com/oddslist/1661830.htm	,2019.02.23	,日职联	,鸟栖沙岩	,名古屋鲸八	,2.02	,3.35	,2.73	,2.32	,3.10	,2.47	,平手/半球	,0.90	,0.98	,平手	,0.87	,1.03	,0	,0	
http://bf.win007.com/football/Over_20190223.htm	,http://op1.win007.com/oddslist/1661825.htm	,2019.02.23	,日职联	,大阪钢巴	,横滨水手	,2.23	,3.40	,2.41	,2.35	,3.40	,2.28	,平手/半球	,1.03	,0.85	,平手	,1.08	,0.82	,0	,3	
http://bf.win007.com/football/Over_20190223.htm	,http://op1.win007.com/oddslist/1557822.htm	,2019.02.23	,英冠	,谢周三	,斯旺西	,2.38	,3.05	,2.44	,2.44	,2.94	,2.44	,平手	,0.85	,1.03	,平手	,0.96	,0.94	,3	,3	
http://bf.win007.com/football/Over_20190222.htm	,http://op1.win007.com/oddslist/1584860.htm	,2019.02.22	,澳洲甲	,中部海岸海员	,布里斯班狮吼	,2.10	,3.45	,2.55	,2.25	,3.35	,2.40	,平手	,0.98	,0.90	,平手	,0.88	,1.00	,0	,0	
http://bf.win007.com/football/Over_20190222.htm	,http://op1.win007.com/oddslist/1661832.htm	,2019.02.22	,日职联	,大阪樱花	,神户胜利船	,2.25	,3.30	,2.43	,2.50	,3.25	,2.22	,平手	,0.80	,1.08	,平手	,1.11	,0.80	,3	,3	
http://bf.win007.com/football/Over_20190220.htm	,http://op1.win007.com/oddslist/1649250.htm	,2019.02.21	,欧冠杯	,马德里竞技	,尤文图斯	,2.44	,2.65	,2.69	,2.62	,2.65	,2.50	,平手	,0.83	,1.05	,平手	,0.96	,0.95	,3	,3	
http://bf.win007.com/football/Over_20190217.htm	,http://op1.win007.com/oddslist/1562274.htm	,2019.02.17	,德乙	,特雷斯登	,雷根斯堡	,2.20	,3.30	,2.50	,2.30	,3.30	,2.37	,平手	,0.80	,1.08	,平手	,0.99	,0.91	,1	,1	
