当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20200531.htm	,http://op1.win007.com/oddslist/1735156.htm	,2020.05.31	,德乙	,特雷斯登	,斯图加特	,5.95	,4.05	,1.37	,5.15	,3.85	,1.45	,7.90	,4.80	,1.37	,6.50	,4.60	,1.45	,1	,1	,受让半球/一球	,1.08	,0.82	,0	,0	,0-2	
http://bf.win007.com/football/Over_20200531.htm	,http://op1.win007.com/oddslist/1734392.htm	,2020.05.31	,德甲	,门兴格拉德巴赫	,柏林联合	,1.37	,4.15	,5.75	,1.33	,4.25	,6.35	,1.55	,4.25	,5.80	,1.50	,4.30	,6.50	,0	,1	,一球	,0.83	,1.08	,3	,3	,4-1	
http://bf.win007.com/football/Over_20200531.htm	,http://op1.win007.com/oddslist/1734385.htm	,2020.05.31	,德甲	,柏德博恩	,多特蒙德	,8.75	,5.50	,1.18	,8.50	,5.20	,1.20	,9.30	,5.90	,1.30	,7.70	,5.50	,1.35	,0	,0	,受让球半	,1.05	,0.86	,0	,0	,1-6	
http://bf.win007.com/football/Over_20200530.htm	,http://op1.win007.com/oddslist/1831333.htm	,2020.05.30	,韩K联	,光州FC	,蔚山现代	,4.55	,3.40	,1.59	,5.00	,3.45	,1.53	,5.30	,3.90	,1.57	,4.65	,3.60	,1.70	,0	,1	,受让半球/一球	,0.84	,1.06	,1	,3	,1-1	
http://bf.win007.com/football/Over_20200527.htm	,http://op1.win007.com/oddslist/1734377.htm	,2020.05.28	,德甲	,RB莱比锡	,柏林赫塔	,1.26	,4.90	,7.00	,1.17	,5.60	,9.00	,1.35	,5.50	,7.70	,1.40	,5.00	,7.20	,1	,1	,球半	,0.87	,1.04	,1	,0	,2-2	
http://bf.win007.com/football/Over_20200524.htm	,http://op1.win007.com/oddslist/1831399.htm	,2020.05.24	,韩K联	,蔚山现代	,釜山偶像	,1.37	,4.10	,6.00	,1.42	,3.90	,5.45	,1.46	,4.20	,6.30	, 	, 	, 	,0	,1	,半球/一球	,0.87	,1.03	,1	,0	,1-1	
http://bf.win007.com/football/Over_20200517.htm	,http://op1.win007.com/oddslist/1735122.htm	,2020.05.17	,德乙	,比勒菲尔德	,奥斯纳布鲁克	,1.55	,3.55	,4.60	,1.46	,3.70	,5.30	,1.55	,4.05	,5.80	,1.70	,3.85	,4.65	,0	,0	,半球/一球	,0.93	,0.97	,1	,3	,1-1	
http://bf.win007.com/football/Over_20200516.htm	,http://op1.win007.com/oddslist/1831419.htm	,2020.05.16	,韩K联	,釜山偶像	,全北现代	,4.70	,3.55	,1.54	,5.55	,3.70	,1.44	,4.90	,3.80	,1.63	, 	, 	, 	,1	,0	,受让一球	,0.84	,1.06	,0	,0	,1-2	
http://bf.win007.com/football/Over_20200516.htm	,http://op1.win007.com/oddslist/1734365.htm	,2020.05.16	,德甲	,RB莱比锡	,弗赖堡	,1.19	,5.05	,9.50	,1.21	,4.90	,8.80	,1.28	,5.80	,9.90	,1.30	,5.50	,9.60	,0	,1	,球半	,1.05	,0.86	,1	,0	,1-1	
http://bf.win007.com/football/Over_20200513.htm	,http://op1.win007.com/oddslist/1740878.htm	,2020.07.13	,西甲	,塞维利亚	,马洛卡	,1.31	,4.40	,7.00	,1.29	,4.60	,7.20	,1.35	,4.95	,9.30	,1.45	,4.50	,7.00	,1	,0	,一球/球半	,0.88	,1.03	,3	,3	,2-0	
http://bf.win007.com/football/Over_20200513.htm	,http://op1.win007.com/oddslist/1740879.htm	,2020.07.12	,西甲	,瓦拉多利德	,巴塞罗那	,9.00	,4.65	,1.24	,9.60	,5.10	,1.20	,9.10	,5.10	,1.35	,8.80	,5.30	,1.33	,1	,0	,受让球半	,0.98	,0.92	,0	,0	,0-1	
http://bf.win007.com/football/Over_20200508.htm	,http://op1.win007.com/oddslist/1831297.htm	,2020.05.08	,韩K联	,全北现代	,水原三星	,1.57	,3.55	,4.50	,1.62	,3.40	,4.30	,1.60	,3.75	,5.00	, 	, 	, 	,0	,1	,半球/一球	,1.08	,0.82	,3	,3	,1-0	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1763749.htm	,2020.07.23	,意甲	,帕尔马	,那不勒斯	,5.20	,4.00	,1.45	,6.00	,4.25	,1.37	,5.25	,4.10	,1.60	,8.00	,5.00	,1.40	,1	,1	,受让一球/球半	,1.02	,0.89	,3	,3	,2-1	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1745220.htm	,2020.07.16	,葡超	,布拉加	,比兰尼塞斯	,1.23	,4.75	,9.00	,1.18	,5.05	,11.30	,1.30	,5.40	,9.20	,1.27	,5.75	,10.00	,0	,1	,球半	,0.84	,1.06	,1	,3	,1-1	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1745223.htm	,2020.07.15	,葡超	,本菲卡	,吉马雷斯	,1.52	,3.65	,5.00	,1.49	,3.75	,5.10	,1.57	,4.05	,5.60	,1.60	,4.00	,5.20	,0	,0	,一球	,0.99	,0.90	,3	,3	,2-0	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1745225.htm	,2020.07.16	,葡超	,波尔图	,里斯本竞技	,1.60	,3.50	,4.50	,1.60	,3.50	,4.50	,1.63	,3.90	,5.20	,1.70	,3.45	,5.25	,0	,1	,半球/一球	,0.96	,0.93	,3	,3	,2-0	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1721313.htm	,2020.07.13	,俄超	,克拉斯诺达尔	,乌拉尔	,1.44	,3.85	,5.60	,1.32	,4.30	,6.95	,1.46	,4.05	,6.60	,1.37	,4.70	,7.40	,0	,0	,一球/球半	,0.88	,1.02	,3	,3	,3-0	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1740851.htm	,2020.07.05	,西甲	,毕尔巴鄂竞技	,皇家马德里	,5.00	,3.40	,1.57	,4.20	,3.20	,1.72	,5.20	,4.05	,1.65	,4.10	,3.50	,1.90	,0	,1	,受让半球	,0.97	,0.92	,0	,0	,0-1	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1740852.htm	,2020.07.04	,西甲	,马德里竞技	,马洛卡	,1.20	,4.60	,12.00	,1.21	,4.70	,10.50	,1.27	,5.30	,13.00	,1.33	,4.80	,11.00	,0	,0	,球半	,1.00	,0.90	,3	,3	,3-0	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1858577.htm	,2021.01.27	,巴西甲	,帕尔梅拉斯	,瓦斯科达伽马	,1.95	,3.00	,3.42	,1.84	,3.10	,3.66	,1.60	,3.85	,5.75	,2.10	,3.15	,3.75	,0	,0	,半球	,1.05	,0.85	,1	,3	,1-1	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1858580.htm	,2020.08.10	,巴西甲	,格雷米奥	,弗鲁米嫩塞	,1.47	,3.55	,5.80	,1.49	,3.45	,5.75	,1.63	,3.65	,6.00	,1.60	,3.55	,6.25	,0	,1	,半球/一球	,0.77	,1.14	,3	,3	,1-0	
