当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20210226.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1981399	,2021.02.26	,澳维超	,丹德农迅雷	,丹德农市	,平手/半球	,平手/半球	,0.95/0.94	,2.5/3	,3	,1.07/0.80	,1.5	,0.94/0.92	,0	,2	,1	,1	
http://bf.win007.com/football/Over_20210226.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1895060	,2021.02.27	,德乙	,雷根斯堡	,柏德博恩	,平手	,受让平手/半球	,0.85/1.05	,2.5	,2.5/3	,1.06/0.82	,1.5	,1.00/0.87	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20210226.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1895055	,2021.02.27	,德乙	,达姆斯塔特	,卡尔斯鲁厄	,平手	,平手	,0.84/1.06	,2.5/3	,3	,1.00/0.88	,1.5	,0.96/0.91	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20210226.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1916829	,2021.02.27	,丹麦甲	,希尔星格	,弗雷德里西亚	,平手	,平手/半球	,1.11/0.78	,2.5	,2.5/3	,1.02/0.84	,2.5	,0.86/1.00	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20210225.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1959363	,2021.02.26	,欧罗巴杯	,萨格勒布迪纳摩	,克拉斯诺达尔	,平手/半球	,半球	,1.07/0.83	,2.5	,2.5/3	,0.92/0.96	,2.5	,0.97/0.90	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20210224.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1955491	,2021.02.24	,澳洲甲	,墨尔本胜利	,惠灵顿凤凰	,平手	,平手	,0.96/0.93	,2.5/3	,3	,0.93/0.95	,2.5/3	,0.94/0.93	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1843317	,2021.02.23	,泰超	,蒙通联	,狮子港	,平手/半球	,平手	,0.83/0.99	,2.5/3	,3	,1.04/0.76	,1.5/2	,1.04/0.78	,0	,3	,0	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1972778	,2021.02.23	,沙地联	,巴腾	,卡达西亚	,受让平手/半球	,受让一球	,0.92/0.90	,2.5/3	,3	,1.01/0.79	,3.5	,1.00/0.86	,2	,4	,1	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1972779	,2021.02.23	,沙地联	,艾美德	,德咸科	,平手	,半球	,1.03/0.79	,2.5	,2.5/3	,0.97/0.83	,1/1.5	,1.07/0.79	,0	,2	,1	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1966354	,2021.02.24	,卡塔尔联	,赛利亚	,阿尔科尔	,平手/半球	,平手	,0.93/0.89	,2.5	,2.5/3	,0.89/0.91	,2.5	,0.98/0.88	,1	,2	,1	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1895033	,2021.02.24	,德乙	,柏德博恩	,海登海默	,平手/半球	,平手/半球	,1.00/0.90	,2.5	,2.5/3	,0.99/0.89	,3.5	,1.08/0.79	,2	,4	,2	,1	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1905800	,2021.02.24	,英甲	,克鲁	,阿克灵顿	,平手/半球	,平手/半球	,1.06/0.82	,2.5	,2.5/3	,0.99/0.87	,2.5	,1.06/0.80	,1	,2	,1	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1905805	,2021.02.24	,英甲	,布里斯托流浪	,维冈竞技	,平手/半球	,平手/半球	,0.82/1.06	,2.5	,2.5/3	,0.99/0.87	,1/1.5	,0.78/1.08	,0	,2	,0	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1905192	,2021.02.24	,英乙	,奥德汉姆	,巴洛	,平手	,平手/半球	,1.08/0.80	,2.5	,2.5/3	,0.98/0.88	,1/1.5	,0.83/1.03	,0	,1	,1	,1	
http://bf.win007.com/football/Over_20210223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1905802	,2021.02.24	,英甲	,普利茅斯	,彼得堡联	,受让平手/半球	,受让平手/半球	,0.98/0.90	,2.5	,2.5/3	,0.98/0.88	,1.5	,1.08/0.78	,0	,3	,1	,1	
http://bf.win007.com/football/Over_20210222.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1972776	,2021.02.22	,沙地联	,瓦赫达麦加	,塔亚文	,平手	,平手	,1.00/0.82	,2.5	,2.5/3	,0.91/0.89	,2/2.5	,0.84/1.02	,1	,2	,1	,1	
http://bf.win007.com/football/Over_20210221.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1911173	,2021.02.21	,土甲	,巴里科斯士邦	,布尔萨体育	,平手	,平手	,1.08/0.76	,2.5	,2.5/3	,1.03/0.79	,2/2.5	,0.83/0.99	,1	,3	,1	,1	
