当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200731.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1784099	,2020.07.31	,澳洲甲	,西悉尼流浪者	,惠灵顿凤凰	,平手	,受让平手/半球	,0.85/1.05	,2.5	,2.5/3	,0.99/0.89	,1.5	,0.96/0.91	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20200731.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1727175	,2020.08.01	,瑞士超	,卢加诺	,塞尔维特	,平手	,半球/一球	,0.99/0.90	,2.5/3	,3	,0.94/0.93	,3.5/4	,0.99/0.87	,2	,4	,1	,1	
http://bf.win007.com/football/Over_20200729.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1876838	,2020.07.29	,挪超	,斯托姆加斯特	,布兰	,平手	,受让平手/半球	,0.86/1.04	,2.5/3	,3	,1.03/0.85	,2.5/3	,0.87/1.00	,1	,4	,1	,1	
http://bf.win007.com/football/Over_20200729.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1876841	,2020.07.29	,挪超	,奥勒松	,斯达	,平手/半球	,平手/半球	,0.99/0.90	,2.5	,2.5/3	,0.91/0.97	,4.5/5	,1.07/0.80	,3	,5	,1	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1879471	,2020.07.30	,瑞典甲	,达尔科德	,奥尔格里特	,平手/半球	,平手/半球	,0.88/1.00	,2.5	,2.5/3	,1.00/0.86	,0	,0	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1763772	,2020.07.30	,意甲	,乌迪内斯	,莱切	,平手	,平手	,0.81/1.08	,2.5/3	,3	,0.89/0.99	,3.5	,0.84/1.04	,2	,3	,1	,0	
http://bf.win007.com/football/Over_20200728.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1727152	,2020.07.29	,瑞士超	,苏黎世	,锡昂	,平手	,受让平手/半球	,1.06/0.82	,2.5/3	,3	,0.92/0.94	,2.5/3	,0.90/0.96	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200726.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872371	,2020.07.26	,日职联	,柏太阳神	,仙台维加泰	,平手/半球	,半球	,0.97/0.92	,2.5	,2.5/3	,0.84/1.04	,3.5	,0.84/1.03	,2	,6	,1	,1	
http://bf.win007.com/football/Over_20200726.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1882781	,2020.07.26	,丹麦超	,霍森斯	,欧登塞	,平手/半球	,受让平手/半球	,0.82/1.08	,2.5	,2.5/3	,1.01/0.87	,1.5	,0.83/1.04	,0	,2	,1	,0	
http://bf.win007.com/football/Over_20200726.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1722049	,2020.07.26	,英超	,莱切斯特城	,曼彻斯特联	,受让平手/半球	,受让半球	,0.88/1.01	,2.5	,2.5/3	,1.04/0.84	,1.5	,0.97/0.91	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20200725.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1843129	,2020.07.25	,韩K2联	,FC安养	,水原城	,受让平手/半球	,受让半球/一球	,0.99/0.89	,2.5	,2.5/3	,0.83/1.03	,1.5	,1.02/0.84	,0	,2	,0	,0	
http://bf.win007.com/football/Over_20200725.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1875706	,2020.07.25	,白俄超	,伊斯洛奇明斯克	,比斯特迪纳摩	,受让平手/半球	,受让平手/半球	,0.83/0.99	,2.5	,2.5/3	,0.92/0.88	,2.5/3	,0.94/0.86	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200725.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1745241	,2020.07.26	,葡超	,布拉加	,波尔图	,受让平手/半球	,平手	,1.03/0.85	,2.5/3	,3	,1.00/0.86	,2.5	,0.91/0.95	,1	,3	,0	,0	
http://bf.win007.com/football/Over_20200722.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1875525	,2020.07.22	,美职业	,蒙特利尔冲击	,华盛顿联	,受让平手/半球	,平手	,0.80/1.11	,2.5	,2.5/3	,0.90/0.98	,2/2.5	,0.96/0.91	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200722.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872366	,2020.07.22	,日职联	,札幌冈萨多	,FC东京	,平手	,平手	,0.96/0.93	,2.5	,2.5/3	,1.03/0.85	,2.5	,0.99/0.88	,1	,2	,1	,1	
http://bf.win007.com/football/Over_20200722.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1728074	,2020.07.23	,英冠	,伯明翰	,德比郡	,平手	,平手/半球	,0.89/1.01	,2.5	,2.5/3	,0.99/0.88	,2.5	,0.82/1.04	,1	,4	,2	,2	
http://bf.win007.com/football/Over_20200722.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1728080	,2020.07.23	,英冠	,布里斯托城	,普雷斯顿	,平手	,受让平手/半球	,0.80/1.11	,2.5	,2.5/3	,1.00/0.87	,2/2.5	,0.81/1.05	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200722.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1763748	,2020.07.23	,意甲	,都灵	,维罗纳	,平手/半球	,平手	,0.82/1.09	,2.5	,2.5/3	,0.92/0.98	,1.5	,1.01/0.87	,0	,2	,0	,0	
http://bf.win007.com/football/Over_20200721.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1875528	,2020.07.22	,美职业	,亚特兰大联	,哥伦布机员	,平手/半球	,受让平手/半球	,0.87/1.03	,2.5	,2.5/3	,0.96/0.92	,2/2.5	,0.82/1.05	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200720.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1877044	,2020.07.20	,美职业	,国际迈阿密	,纽约城	,受让平手/半球	,平手	,1.09/0.81	,2.5	,2.5/3	,0.88/1.00	,1/1.5	,0.85/1.02	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20200720.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1852209	,2020.07.21	,罗甲	,拉斯理工体育会	,维托鲁康斯坦萨	,受让平手/半球	,受让半球	,0.88/1.00	,2.5	,2.5/3	,1.02/0.84	,2.5	,0.93/0.93	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200719.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1877045	,2020.07.19	,丹麦超	,欧登塞	,兰德斯	,平手/半球	,平手/半球	,0.96/0.93	,2.5	,2.5/3	,0.93/0.95	,2.5	,0.99/0.88	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200719.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1763737	,2020.07.20	,意甲	,布雷西亚	,史帕尔	,平手/半球	,平手/半球	,0.83/1.08	,2.5	,2.5/3	,0.86/1.04	,2.5	,0.82/1.06	,1	,3	,1	,1	
