当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971561.htm	,2021.02.28	,日职乙	,SC相模原	,京都不死鸟	,4.30	,3.45	,1.62	,4.80	,3.60	,1.53	,受让半球/一球	,0.87	,1.01	,受让半球/一球	,0.94	,0.95	,0	,0	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971558.htm	,2021.02.28	,日职乙	,千叶市原	,甲府风林	,2.52	,3.05	,2.42	,2.55	,3.00	,2.42	,平手	,1.03	,0.85	,平手	,1.04	,0.86	,1	,0	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971557.htm	,2021.02.28	,日职乙	,町田泽维亚	,山形山神	,2.85	,3.05	,2.18	,2.93	,3.00	,2.15	,受让平手/半球	,0.83	,1.05	,受让平手/半球	,0.85	,1.05	,1	,0	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971556.htm	,2021.02.28	,日职乙	,水户蜀葵	,大宫松鼠	,2.48	,3.20	,2.37	,2.86	,2.90	,2.25	,受让平手/半球	,0.79	,1.09	,受让平手/半球	,0.80	,1.08	,0	,3	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971555.htm	,2021.02.28	,日职乙	,FC琉球	,磐田喜悦	,3.20	,3.50	,1.85	,3.28	,3.55	,1.81	,受让平手/半球	,1.06	,0.82	,受让半球	,0.81	,1.09	,3	,3	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971561.htm	,2021.02.28	,日职乙	,SC相模原	,京都不死鸟	,4.30	,3.45	,1.62	,4.80	,3.60	,1.53	,受让半球/一球	,0.87	,1.01	,受让半球/一球	,0.94	,0.95	,0	,0	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971558.htm	,2021.02.28	,日职乙	,千叶市原	,甲府风林	,2.52	,3.05	,2.42	,2.55	,3.00	,2.42	,平手	,1.03	,0.85	,平手	,1.04	,0.86	,1	,0	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971557.htm	,2021.02.28	,日职乙	,町田泽维亚	,山形山神	,2.85	,3.05	,2.18	,2.93	,3.00	,2.15	,受让平手/半球	,0.83	,1.05	,受让平手/半球	,0.85	,1.05	,1	,0	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971556.htm	,2021.02.28	,日职乙	,水户蜀葵	,大宫松鼠	,2.48	,3.20	,2.37	,2.86	,2.90	,2.25	,受让平手/半球	,0.79	,1.09	,受让平手/半球	,0.80	,1.08	,0	,3	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1971555.htm	,2021.02.28	,日职乙	,FC琉球	,磐田喜悦	,3.20	,3.50	,1.85	,3.28	,3.55	,1.81	,受让平手/半球	,1.06	,0.82	,受让半球	,0.81	,1.09	,3	,3	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1915503.htm	,2021.02.28	,意甲	,桑普多利亚	,亚特兰大	,4.60	,4.00	,1.49	,5.10	,4.30	,1.41	,受让一球	,0.90	,0.98	,受让一球	,0.98	,0.92	,0	,0	
http://bf.win007.com/football/Over_20210228.htm	,http://op1.win007.com/oddslist/1906406.htm	,2021.02.28	,英冠	,韦康比流浪者	,诺维奇	,6.80	,4.50	,1.30	,7.00	,4.65	,1.28	,受让一球/球半	,0.80	,1.08	,受让球半	,0.91	,0.98	,0	,0	
